stop_id,stop_name,stop_desc,stop_lat,stop_lon
502870,"HORACE HARDING EXPWY/97 ST","HORACE HARDING EXPWY & 97 ST",  40.734537, -73.861405
502872,"HORACE HARDING EXPWY/99 ST","HORACE HARDING EXPWY & 99 ST",  40.735600, -73.857983
502984,"HORACE HARDING EXPWY/WESTSIDE AV","HORACE HARDING EXPWY & WESTSIDE AV",  40.737339, -73.854072
503033,"UNION TPKE/252 ST","UNION TPKE & 252 ST",  40.743622, -73.718149
503058,"JAMAICA AV/SPRINGFIELD BLVD","JAMAICA AV & SPRINGFIELD BLVD",  40.718192, -73.735775
503074,"PARSONS BLVD/ASH AV","PARSONS BLVD & ASH AV",  40.757742, -73.819075
503083,"108 ST/ASTORIA BLVD","108 ST & ASTORIA BLVD",  40.760695, -73.861325
503147,"18 AV/CORPORAL KENNEDY ST","18 AV & CORPORAL KENNEDY ST",  40.781943, -73.783778
503148,"211 ST/18 AV","211 ST & 18 AV",  40.782031, -73.781550
503149,"211 ST/23 AV","211 ST & 23 AV",  40.780036, -73.780576
503185,"JAMAICA AV/168 PL","JAMAICA AV & 168 PL",  40.706820, -73.791474
503208,"HOLLIS COURT BLVD/47 AV","HOLLIS COURT BLVD & 47 AV",  40.751513, -73.788174
503221,"CROSS ISLAND PKWY/212 ST","CROSS ISLAND PKWY & 212 ST",  40.788842, -73.782481
503248,"23 AV/BELL BLVD","23 AV & BELL BLVD",  40.782428, -73.776882
503283,"JAMAICA AV /168 ST","JAMAICA AV  & 168 ST",  40.706358, -73.792170
503290,"PARSONS BLVD/14 AV","PARSONS BLVD & 14 AV",  40.786781, -73.822188
503293,"QUEENS BLVD/SKILLMAN AV","QUEENS BLVD & SKILLMAN AV",  40.745932, -73.934522
503295,"QUEENS BLVD/35 ST","QUEENS BLVD & 35 ST",  40.744237, -73.929680
503296,"QUEENS BLVD/38 ST","QUEENS BLVD & 38 ST",  40.743850, -73.926550
503298,"QUEENS BLVD/41 ST","QUEENS BLVD & 41 ST",  40.743498, -73.923254
503300,"QUEENS BLVD/46 ST","QUEENS BLVD & 46 ST",  40.742964, -73.918617
503302,"ROOSEVELT AV/51 ST","ROOSEVELT AV & 51 ST",  40.743801, -73.913548
